"Supermarket","Type","Saturday","Weekdays"
"Four Square Alberton","Four Square",1,3
"Four Square Botany Junction","Four Square",0,2.25
"Four Square Cockle Bay","Four Square",1,3
"Four Square Ellerslie","Four Square",1,3
"Four Square Everglade","Four Square",1,2
"Four Square Fair Price Henderson","Four Square",1,3
"Four Square Glen Eden","Four Square",1,2
"Four Square Hobsonville","Four Square",1,3
"Four Square Lancaster","Four Square",1,2
"Four Square Pakuranga Heights","Four Square",1,2.25
"Four Square St Heliers","Four Square",1,2.25
"Four Square Torbay","Four Square",0,3
"New World Albany","New World",2.25,7
"New World Birkenhead","New World",2.25,7
"New World Botany","New World",3,7
"New World Browns Bay","New World",1.5,6.25
"New World Devonport","New World",2.25,7
"New World Eastridge","New World",3,6
"New World Green Bay","New World",2.25,7
"New World Howick","New World",3,6
"New World Long Bay","New World",2.25,6.25
"New World Metro Queen St","New World",2.25,6
"New World Metro Shore City","New World",3,7
"New World Milford","New World",3,6
"New World Mt Roskill","New World",3,6
"New World New Lynn","New World",3,7
"New World Ormiston","New World",2.25,6
"New World Papakura","New World",1.5,7
"New World Papatoetoe","New World",3,7
"New World Remuera","New World",3,7
"New World Southmall","New World",3,6
"New World Stonefields","New World",3,7
"New World Victoria Park","New World",3,6
"Pak 'n Save Albany","Pak 'n Save",6,8.25
"Pak 'n Save Botany","Pak 'n Save",6,9
"Pak 'n Save Clendon","Pak 'n Save",6,9
"Pak 'n Save Glen Innes","Pak 'n Save",4.25,8.25
"Pak 'n Save Henderson","Pak 'n Save",6,8
"Pak 'n Save Lincoln Road","Pak 'n Save",5,9
"Pak 'n Save Mangere","Pak 'n Save",5.25,9
"Pak 'n Save Manukau","Pak 'n Save",5,8
"Pak 'n Save Mt Albert","Pak 'n Save",3.5,8
"Pak 'n Save Ormiston","Pak 'n Save",6,7.25
"Pak 'n Save Papakura","Pak 'n Save",5.25,9
"Pak 'n Save Royal Oak","Pak 'n Save",4.5,8
"Pak 'n Save Sylvia Park","Pak 'n Save",5,7.25
"Pak 'n Save Wairau Road","Pak 'n Save",6,8.25
"Pak 'n Save Westgate","Pak 'n Save",5,9
