route,cost
"['Warehouse', ""Pak 'n Save Westgate"", 'Warehouse']",118.68541666666675
"['Warehouse', 'New World New Lynn', ""Pak 'n Save Westgate"", 'Warehouse']",165.8933333333335
"['Warehouse', 'New World New Lynn', 'Four Square Glen Eden', ""Pak 'n Save Westgate"", 'Warehouse']",199.39375000000018
"['Warehouse', 'Four Square Hobsonville', 'Warehouse']",137.95375
"['Warehouse', 'Four Square Pakuranga Heights', 'New World Botany', 'Four Square Botany Junction', 'Warehouse']",215.84083333333345
"['Warehouse', 'Four Square Pakuranga Heights', 'Four Square Cockle Bay', 'New World Botany', 'Four Square Botany Junction', 'Warehouse']",264.24625
"['Warehouse', 'Four Square Pakuranga Heights', 'Four Square Cockle Bay', 'New World Botany', 'Four Square Botany Junction', 'Four Square Ellerslie', 'Warehouse']",303.77541666666673
"['Warehouse', 'Four Square Cockle Bay', 'New World Howick', 'Warehouse']",232.82416666666649
"['Warehouse', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Warehouse']",241.88958333333323
"['Warehouse', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Ellerslie', 'Warehouse']",267.78499999999974
"['Warehouse', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Ellerslie', 'Four Square Alberton', 'Warehouse']",319.21833333333296
"['Warehouse', 'New World Stonefields', 'Four Square Ellerslie', 'Warehouse']",142.76041666666677
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'Warehouse']",254.17750000000012
"['Warehouse', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Warehouse']",185.98583333333343
"['Warehouse', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Warehouse']",197.37833333333342
"['Warehouse', 'Four Square St Heliers', ""Pak 'n Save Glen Innes"", 'Warehouse']",198.1749999999999
"['Warehouse', 'Four Square St Heliers', ""Pak 'n Save Glen Innes"", 'Four Square Ellerslie', 'Warehouse']",208.22041666666667
"['Warehouse', 'Four Square St Heliers', ""Pak 'n Save Glen Innes"", 'Four Square Pakuranga Heights', 'Four Square Ellerslie', 'Warehouse']",260.59041666666667
"['Warehouse', 'Four Square Pakuranga Heights', ""Pak 'n Save Botany"", 'Warehouse']",207.11250000000007
"['Warehouse', 'Four Square Pakuranga Heights', ""Pak 'n Save Botany"", 'Four Square Botany Junction', 'Warehouse']",218.50500000000008
"['Warehouse', 'Four Square Pakuranga Heights', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'Four Square Botany Junction', 'Warehouse']",264.1229166666667
"['Warehouse', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'Warehouse']",240.8449999999999
"['Warehouse', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'New World Botany', 'Warehouse']",252.28375
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",183.5041666666668
"['Warehouse', 'New World Remuera', 'Four Square Ellerslie', 'Warehouse']",130.16625000000002
"['Warehouse', 'New World Remuera', 'Four Square Ellerslie', ""Pak 'n Save Royal Oak"", 'Warehouse']",145.5454166666667
"['Warehouse', 'New World Eastridge', 'New World Remuera', 'Warehouse']",159.40375
"['Warehouse', 'New World Stonefields', ""Pak 'n Save Glen Innes"", 'Warehouse']",182.0283333333333
"['Warehouse', 'New World Stonefields', ""Pak 'n Save Glen Innes"", 'Four Square Ellerslie', 'Warehouse']",192.07375000000005
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', 'New World Botany', 'Warehouse']",254.30083333333351
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', 'New World Botany', 'Four Square Botany Junction', 'Warehouse']",265.69333333333344
"['Warehouse', 'New World Botany', 'Four Square Botany Junction', 'Warehouse']",199.7354166666667
"['Warehouse', 'New World Botany', 'Four Square Botany Junction', ""Pak 'n Save Ormiston"", 'Warehouse']",229.58583333333337
"['Warehouse', 'New World Ormiston', ""Pak 'n Save Botany"", 'Warehouse']",218.09041666666673
"['Warehouse', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Botany"", 'Warehouse']",232.86666666666676
"['Warehouse', ""Pak 'n Save Sylvia Park"", 'New World Stonefields', 'Warehouse']",174.39500000000015
"['Warehouse', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Warehouse']",185.94625
"['Warehouse', 'Four Square Ellerslie', 'Four Square Alberton', 'Warehouse']",154.6575
"['Warehouse', 'Four Square Ellerslie', 'Four Square Alberton', 'New World Mt Roskill', 'Warehouse']",159.77625000000006
"['Warehouse', 'Four Square St Heliers', 'Four Square Ellerslie', 'Four Square Alberton', 'New World Mt Roskill', 'Warehouse']",243.79791666666654
"['Warehouse', 'Four Square Cockle Bay', 'Four Square St Heliers', 'Four Square Ellerslie', 'Four Square Alberton', 'New World Mt Roskill', 'Warehouse']",355.3458333333331
"['Warehouse', 'Four Square Ellerslie', 'Warehouse']",103.22416666666676
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Remuera', 'Warehouse']",164.91416666666677
"['Warehouse', 'Four Square St Heliers', 'Warehouse']",183.5275
"['Warehouse', 'Four Square St Heliers', 'New World Eastridge', 'Warehouse']",197.01000000000008
"['Warehouse', 'Four Square St Heliers', 'New World Eastridge', ""Pak 'n Save Royal Oak"", 'Warehouse']",210.12500000000009
"['Warehouse', 'Four Square Pakuranga Heights', 'Warehouse']",154.1833333333335
"['Warehouse', 'Four Square Pakuranga Heights', 'New World Botany', 'Warehouse']",204.44833333333347
"['Warehouse', 'Four Square Pakuranga Heights', 'New World Botany', 'New World Ormiston', 'Warehouse']",227.10833333333352
"['Warehouse', 'Four Square Cockle Bay', 'Warehouse']",229.52958333333328
"['Warehouse', 'Four Square Cockle Bay', 'New World Botany', 'Warehouse']",240.96833333333336
"['Warehouse', 'Four Square Cockle Bay', 'New World Botany', 'Four Square Pakuranga Heights', 'Warehouse']",251.34333333333333
"['Warehouse', 'Four Square Cockle Bay', 'New World Botany', 'Four Square Pakuranga Heights', 'Four Square Ellerslie', 'Warehouse']",277.2387499999998
"['Warehouse', 'Four Square Botany Junction', 'Warehouse']",158.02041666666673
"['Warehouse', 'New World Mt Roskill', 'Warehouse']",32.83958333333332
