,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Roskill,New World New Lynn,New World Ormiston,New World Papakura,New World Papatoetoe,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Alberton,Four Square Botany Junction,Four Square Cockle Bay,Four Square Ellerslie,Four Square Everglade,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
Pak 'n Save Lincoln Road,21796.6,23438.82,31824.3,24635.72,32427.97,22381.1,19579.8,33799.53,27490.97,26539.56,16428.45,25601.29,15409.05,11901.32,37095.5,45633.99,30640.04,18945.3,38224.06,23294.85,15745.52,21520.75,31633.93,33603.57,26336.34,3578.18,0,26299.65,33294.43,11840.17,37436.61,41851.57,19381.32,24701.61,22368.03,5675.54,12751.56,36294.09,36244.14,20463.07,35264.75,1972,8635.21,9547.62,22210.56,28991.57,28692.82,27623.01,15822.06
Pak 'n Save Mangere,40516.69,32570.31,17442.39,43355.81,38589.44,30686.19,19872.54,22396.03,46211.06,32701.02,25559.94,34658.14,12533.7,17194.84,15058.4,21774.18,8204.38,27892.34,14364.25,24720.27,24877.02,40240.84,17949.94,11167.9,25789.06,25970.83,25977.25,0,10535.7,15863.12,15399.51,17991.76,11448.8,20677.35,35223.53,29338.95,17503.7,14256.99,22858.36,24299.55,11895.21,27818.79,23335.18,33211.04,35738.35,22846.2,28923.02,46343.09,12774.17
Pak 'n Save Manukau,37063.52,29117.15,7252.64,39902.64,35136.27,19933.87,26466.33,12206.28,42757.89,29247.86,20823.04,31204.98,19127.49,23788.63,4868.65,13709.47,3123.02,17140.03,6299.54,13967.96,21377.71,36787.67,7760.19,6931.59,15036.75,32929.45,32935.87,10431.04,0,22456.91,5209.76,9927.05,18042.59,9925.04,31770.36,36297.57,23928.67,4067.24,12668.61,13547.24,3133.31,34777.41,29928.97,40169.65,32285.18,12093.88,18170.71,42889.93,19367.96
Pak 'n Save Mt Albert,24204.35,16257.98,29250.96,27043.47,22277.1,15200.25,6480.88,26618.68,29898.72,16388.69,9247.6,18345.81,3456.32,3360.41,26866.97,33582.76,20012.95,11764.46,26172.83,16114.01,8564.68,23928.5,24453.09,22976.48,19155.5,11671.79,11678.21,15672.57,22344.27,0,27208.09,29800.33,8754.24,17520.77,18911.19,15039.92,3010.24,26065.57,29063.29,13282.23,23703.79,13519.75,7570.21,18912,19426.01,21810.73,21511.98,30030.76,5194.98
Pak 'n Save Ormiston,41241.5,33295.12,4664.15,44080.62,39314.24,24111.85,31911.45,9617.8,46935.86,33425.83,25001.02,35382.95,24572.61,29233.75,749.17,17425.96,7812.91,21318,10016.04,18145.93,25555.68,40965.64,5171.7,13362.86,14556.74,37107.42,37113.84,15876.16,5040.5,27902.02,0,13643.54,23487.71,14103.01,35948.33,40475.54,28106.65,1568.72,10080.12,17725.21,5103.7,38955.38,35374.09,44347.63,36463.16,8505.42,18087.34,47067.9,24813.07
Pak 'n Save Papakura,45941.16,37994.79,16370.4,48780.28,44013.91,28811.51,34196.34,21324.04,51635.53,38125.49,29700.68,40082.61,26857.49,31518.64,14080.67,1910.54,15286.82,26017.67,4731.76,22845.6,30255.34,45665.3,16877.95,7856.17,23914.39,40294.63,40301.05,18161.05,9576.87,30186.91,13692.38,0,25772.59,18802.68,40648,43662.75,32806.31,13185,25514.81,22424.88,10833.54,42142.59,37658.97,47534.83,41162.82,20971.52,27048.35,51767.57,27097.96
Pak 'n Save Royal Oak,24495.38,16549.01,14295.81,27334.5,22568.13,9839.65,12972.38,16271.04,30189.75,16679.71,8254.9,18636.84,5633.54,10294.68,21091.93,27807.71,14237.91,5170.11,20397.78,7449.42,8809.56,24219.53,14105.45,17201.43,10490.92,19070.67,19077.09,9897.52,16569.23,8962.95,21433.04,24025.29,0,7744.32,19202.22,22438.79,8322.04,20290.52,18715.65,4417.75,17928.74,20918.63,16435.01,26310.87,19717.04,11463.09,12847.4,30321.79,5874
Pak 'n Save Sylvia Park,28727.36,20780.99,8424.26,31566.48,26800.11,8309.13,27054.03,10399.48,34421.73,20911.7,12486.88,22868.82,22883.28,21553.59,13672.81,22211.3,9268.96,8803.87,14801.37,3668.27,13041.55,28451.51,8233.89,18153.67,5302.49,24593.29,24599.71,20666.96,9871.74,17480.8,14013.93,18428.88,9027.69,0,23434.2,27961.41,15592.51,12871.4,12844.09,4110.29,11842.07,26441.25,24933.81,31833.49,23949.02,5591.53,8436.45,34553.77,23296.29
Pak 'n Save Wairau Road,7314.27,6627.62,30316.67,10153.39,12301.63,22680.22,28399.8,32291.89,13008.64,3127.14,12048.31,2556.91,24229.05,22899.36,35587.87,44126.36,31184.02,17437.67,36716.43,21787.22,11181.76,7038.42,30126.3,40068.72,24828.71,26260.01,21956.46,35119.65,31786.79,18826.57,35928.98,40343.93,19842.99,23193.98,0,17736.99,16938.29,34786.46,34736.5,18955.44,33757.12,23798,29862.5,14399.06,5834.9,27483.94,27185.19,13140.68,24642.06
Pak 'n Save Westgate,17525.21,26047.07,35098.12,20364.33,28156.58,25654.91,22853.62,37073.34,23219.58,22268.17,19702.26,21329.9,18682.87,15175.14,40369.31,48907.81,33913.85,22219.12,41497.88,26568.67,19019.34,17249.36,34907.75,36877.38,29610.16,10214.25,5910.7,29573.47,36568.24,15113.98,40710.43,45125.38,22655.14,27975.43,18096.65,0,16025.38,39567.91,39517.95,23736.89,38538.57,7752.23,13816.73,5276.23,17939.17,32265.39,31966.64,23351.62,19095.88
