Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', 'New World New Lynn', 'Warehouse']",29.4378333333334,3,73.5945833333335,3000
"['Warehouse', 'Four Square Glen Eden', 'Warehouse']",43.534833333333296,1,108.83708333333324,3000
"['Warehouse', 'New World New Lynn', 'Four Square Glen Eden', 'Warehouse']",58.5394,4,146.3485,3000
"['Warehouse', ""Pak 'n Save Henderson"", 'Warehouse']",48.1665,6,120.41624999999999,3000
"['Warehouse', 'New World New Lynn', ""Pak 'n Save Henderson"", 'Warehouse']",69.86359999999999,9,174.659,3000
"['Warehouse', 'New World New Lynn', 'Four Square Glen Eden', ""Pak 'n Save Henderson"", 'Warehouse']",78.68339999999995,10,196.70849999999987,3000
