Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'New World Southmall', 'Warehouse']",106.92260000000003,9,267.3065000000001,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Papatoetoe', 'Warehouse']",105.50660000000002,7,263.76650000000006,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",140.1212000000001,16,350.3030000000002,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Everglade', 'New World Papakura', 'Warehouse']",146.4244,14,366.061,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",125.0012,14,312.503,3000
"['Warehouse', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Mangere"", 'Warehouse']",107.45160000000008,13,268.6290000000002,3000
"['Warehouse', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Mangere"", 'New World Mt Roskill', 'Warehouse']",118.53680000000003,16,296.34200000000004,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', 'Warehouse']",122.74160000000012,14,306.85400000000027,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', 'New World Papakura', 'Warehouse']",156.04860000000014,16,390.1215000000003,3000
"['Warehouse', 'New World Mt Roskill', 'Four Square Botany Junction', 'Warehouse']",83.7714,3,209.42849999999999,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'New World Mt Roskill', 'Warehouse']",116.51719999999997,13,291.2929999999999,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'New World Papatoetoe', 'New World Mt Roskill', 'Warehouse']",131.65600000000003,16,329.1400000000001,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Botany Junction', 'New World Papatoetoe', 'New World Mt Roskill', 'Warehouse']",148.1574,16,370.3935,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Clendon"", 'New World Mt Roskill', 'Warehouse']",93.33639999999997,12,233.34099999999992,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Everglade', ""Pak 'n Save Clendon"", 'New World Mt Roskill', 'Warehouse']",108.11220000000003,13,270.2805000000001,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Clendon"", 'New World Mt Roskill', 'Warehouse']",120.54720000000003,13,301.3680000000001,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Clendon"", 'New World Mt Roskill', 'Warehouse']",131.05560000000003,15,327.63900000000007,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",106.50619999999996,16,266.2654999999999,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",103.46500000000009,9,258.6625000000002,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'New World Ormiston', 'Warehouse']",110.86800000000008,11,277.1700000000002,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Warehouse']",121.84900000000007,16,304.6225000000002,3000
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'New World Papakura', 'Warehouse']",161.2974000000001,14,403.24350000000027,3000
"['Warehouse', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'New World Southmall', 'Warehouse']",106.94180000000011,11,267.35450000000026,3000
"['Warehouse', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', 'New World Mt Roskill', 'Warehouse']",126.21640000000002,15,315.54100000000005,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'Four Square Everglade', 'Warehouse']",91.03000000000009,9,227.57500000000022,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",103.0672,7,257.668,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",114.49940000000004,9,286.2485000000001,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'Four Square Everglade', 'Warehouse']",88.34520000000003,9,220.86300000000008,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'Four Square Everglade', 'New World Southmall', 'Warehouse']",115.03980000000011,15,287.59950000000026,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Warehouse']",88.98839999999996,8,222.4709999999999,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",100.42060000000001,10,251.05150000000003,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'New World Ormiston', 'New World Southmall', 'Warehouse']",119.68900000000005,13,299.2225000000001,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",113.3552,11,283.388,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'New World Papatoetoe', 'Warehouse']",120.57080000000008,13,301.4270000000002,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'New World Ormiston', 'New World Papatoetoe', 'Warehouse']",142.28360000000012,15,355.70900000000034,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'New World Papatoetoe', 'Warehouse']",146.65060000000008,16,366.6265000000002,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'New World Papatoetoe', 'Warehouse']",151.31920000000008,16,378.2980000000002,3000
"['Warehouse', 'Four Square Botany Junction', ""Pak 'n Save Mangere"", 'New World Mt Roskill', 'Warehouse']",100.30180000000007,8,250.75450000000018,3000
"['Warehouse', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", ""Pak 'n Save Mangere"", 'New World Mt Roskill', 'Warehouse']",107.09120000000001,13,267.728,3000
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Manukau"", ""Pak 'n Save Mangere"", 'New World Mt Roskill', 'Warehouse']",118.52340000000001,15,296.30850000000004,3000
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', ""Pak 'n Save Papakura"", 'Warehouse']",152.83320000000003,16,382.083,3000
