Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",94.14573333333342,10,235.36433333333355,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",101.29480000000001,16,253.23700000000002,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Warehouse']",90.69216666666667,8,226.73041666666666,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'New World Papatoetoe', 'Warehouse']",104.68233333333328,15,261.7058333333332,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Mangere"", 'Warehouse']",78.40436666666662,16,196.01091666666656,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', 'Warehouse']",104.8632,15,262.158,3000
"['Warehouse', 'New World Southmall', ""Pak 'n Save Mangere"", 'Warehouse']",96.27723333333338,15,240.69308333333348,3000
"['Warehouse', 'New World Papakura', 'New World Southmall', 'Warehouse']",115.92226666666676,13,289.8056666666669,3000
"['Warehouse', 'New World Papakura', 'New World Southmall', 'Four Square Botany Junction', 'Warehouse']",141.878,15,354.69499999999994,3000
"['Warehouse', 'Four Square Everglade', 'New World Ormiston', 'New World Papatoetoe', 'Warehouse']",111.14426666666671,15,277.86066666666676,3000
"['Warehouse', 'Four Square Botany Junction', ""Pak 'n Save Papakura"", 'Warehouse']",123.03263333333338,11,307.58158333333347,3000
"['Warehouse', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Papakura"", 'Warehouse']",131.11736666666673,13,327.7934166666668,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'Warehouse']",79.60603333333343,14,199.01508333333356,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Everglade', 'Warehouse']",87.9729,9,219.93224999999998,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",101.81373333333333,11,254.53433333333334,3000
"['Warehouse', 'New World Southmall', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",113.62623333333329,16,284.0655833333332,3000
